,Calm,Energetic,Difference (%)
zcr_mean,0.10592098717758472,0.11095839112517873,4.76
zcr_std,0.07703436560654248,0.04427976665192179,-42.52
zcr_max,0.673828125,0.59228515625,-12.1
zcr_min,0.0205078125,0.0107421875,-47.62
ste_mean,18.328908920288086,11.522493362426758,-37.13
ste_std,17.43210792541504,27.99610710144043,60.6
ste_max,161.21864318847656,378.3018798828125,134.65
ste_min,0.001325932564213872,3.09490023937542e-05,-97.67
mfcc1_mean,-140.70159912109375,-353.21575927734375,151.04
mfcc1_std,35.65668487548828,152.20217895507812,326.85
mfcc2_mean,117.98853302001953,64.96141815185547,-44.94
mfcc2_std,32.21192169189453,49.314884185791016,53.1
mfcc3_mean,-10.028438568115234,-29.722291946411133,196.38
mfcc3_std,23.033100128173828,37.6843147277832,63.61
mfcc4_mean,18.100305557250977,-8.006370544433594,-144.23
mfcc4_std,16.17569351196289,21.704776763916016,34.18
mfcc5_mean,-0.9415258765220642,-11.521474838256836,1123.7
mfcc5_std,13.345958709716797,21.549230575561523,61.47
mfcc6_mean,4.4123077392578125,-1.712551474571228,-138.81
mfcc6_std,10.082026481628418,12.247570991516113,21.48
mfcc7_mean,-9.428813934326172,-2.250056743621826,-76.14
mfcc7_std,10.364513397216797,13.29153060913086,28.24
mfcc8_mean,-3.0310492515563965,-3.5868844985961914,18.34
mfcc8_std,8.71548080444336,9.37820053100586,7.6
mfcc9_mean,3.5863540172576904,-10.301486015319824,-387.24
mfcc9_std,10.760679244995117,13.171969413757324,22.41
mfcc10_mean,-1.2272741794586182,-3.2945587635040283,168.45
mfcc10_std,10.422433853149414,9.807832717895508,-5.9
mfcc11_mean,-0.4003203213214874,-5.02210807800293,1154.52
mfcc11_std,8.143787384033203,9.230070114135742,13.34
mfcc12_mean,0.9607560038566589,-9.457531929016113,-1084.38
mfcc12_std,7.340675354003906,10.910367012023926,48.63
mfcc13_mean,-1.283057689666748,-8.28147029876709,545.45
mfcc13_std,7.4787139892578125,10.34559440612793,38.33
